ik14,canon_smiles,cmax_mg_L,dose_mg,n_records,n_sources,cmax_per_dose,log_cmax_per_dose
BRUQQQPBMZOVGD,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,0.015768499999999998,5.0,1,1,0.0031536999999999997,-2.5011796218952904
BUPRVECGWBHCQV,CC1(C)c2nc(-c3ccc(F)cc3)c(Nc3ccc(F)cc3)n2CCN1C(=O)CN,0.007599666199999998,1200.0,1,1,6.333055166666665e-06,-5.198386728856533
BUXIAWLTBSXYSW,Cc1c(C#N)cccc1-c1cc(-c2cn(Cc3cccc(C(C)(C)O)n3)nn2)nc(N)n1,1.1720011584,200.0,1,1,0.005860005792,-2.2321019547272343
BZCALJIHZVNMGJ,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,5.3000024688,50.0,1,1,0.106000049376,-0.9746939324359907
CAKRAHQRJGUPIG,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],0.05774003999999999,70.0,2,1,0.0008248577142857141,-3.0836209596075315
CGBYTKOSZYQOPV,COP(=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)cc12,2.39999862,400.0,13,1,0.00599999655,-2.221848999335755
CGDZXLJGHVKVIE,O=C(N[C@@H]1CC[C@@H](c2cccc(F)c2F)CN(CC(F)(F)F)C1=O)N1CCC(n2c(=O)[nH]c3ncccc32)CC1,0.9064479999999999,150.0,1,1,0.0060429866666666665,-2.2187483639841235
CIKVHUDEOYKYGJ,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)O)sc2C1,0.0149019312,60.0,1,1,0.00024836552,-3.604908696390479
CKLPLPZSUQEDRT,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,1.8849996864,225.0,4,2,0.008377776384,-2.076871235821413
CNPVJJQCETWNEU,COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,0.8380015739999999,200.0,11,1,0.004190007869999999,-2.3777851613071266
CQKFXYUMOBQSLF,Cc1ccc([C@@H]2C[C@H](CN[C@H](C)c3cccc4ccccc34)Oc3ccccc32)cc1C(=O)O.Cl,0.3966317416,25.0,3,1,0.015865269664,-1.7995525417424618
CSKDFZIMJXRJGH,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,1.456999228,250.0,23,3,0.005827996912,-2.234480687015588
CTRLABGOLIVAIY,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0.50454,300.0,1,1,0.0016818,-2.7742256518560704
CTTGKZJUGYVDAB,CO[C@@H]1[C@H](OC(=O)N[C@@H](C(N)=O)C(C)(C)O)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1C[C@@H]1OC1(C)C,0.0033998533799999998,15.0,1,1,0.00022665689199999998,-3.644631070728117
CTTGKZJUGYVDAB,CO[C@@H]1[C@H](OC(=O)N[C@@H](C(N)=O)C(C)(C)O)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1C[C@H]1OC1(C)C,0.00410018574,15.0,1,1,0.000273345716,-3.563287728182301
CUTZNERBKDMLAP,O=C(O)c1n[nH]c2c1C[C@H]1C[C@@H]21,0.006763392,150.0,17,1,4.508928e-05,-4.345926699590825
CZFFBEXEKNGXKS,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,1.423499481,400.0,20,7,0.0035587487024999996,-2.448702678186314
DBPMWRYLTBNCCE,COc1ncc(OC)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,4.0999998688,800.0,1,1,0.005124999836,-2.2903061441696315
DCZOKUPYRTZAFN,COc1cc2c(cc1OC)C(=O)C(CC1(F)CCN(Cc3ccccc3F)CC1)C2,0.0086087456,4.0,5,1,0.0021521864,-2.667120117305976
DDBREPKUVSBGFI,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,5.500000576,2.9,1,1,1.8965519227586207,0.27796473707776204
DDUHZTYCFQRHIY,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0.6365999227499999,250.0,2,1,0.0025463996909999994,-2.59407342708773
DFHHLTRPIUJKPY,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncn[14c](Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.O,0.9581635151999999,250.0,1,1,0.0038326540607999996,-2.4165003788322155
DKMACHNQISHMDN,CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[14C@@H]1CCc1ccc(C(F)(F)F)cc1,0.6806342399999998,200.0,5,1,0.003403171199999999,-2.4681162027275483
DKSVBVKHUICELN,CCOc1noc2cc(OCCC3CCN(c4ccc(C)nn4)CC3)ccc12,1.8899987573999997,400.0,1,1,0.004724996893499999,-2.3255984726862002
