canonical_smiles,name,log_vdss,ik14
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Aprepitant,0.0,ATALOFNDEOCMKK
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Brexanolone,0.47712125471966244,AURFZBICLPNKBZ
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,Liothyronine,-0.8239087409443188,AUYYCJSJGJYCDS
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,Doripenem,-0.619788758288394,AVAACINZEOAHHE
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,Succinylcholine,-2.2518119729937998,AXOIZCJOOAYSMI
CC(C)(NC(=O)C1=C(O)[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)C1)c1nc(-c2ccccc2)no1,Naldemedine,0.3452336581560347,AXQACEQYCPKDMV
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,Atazanavir,0.10086266356331174,AXRYRYVKAWYZBR
CC(C)C[C@H](CN)CC(=O)O,Pregabalin,-0.3010299956639812,AYXYPKUFHZROOJ
C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,Dienogest,-0.24303804868629447,AZFLJNIPTRTECV
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,Mobocertinib,0.8616197423225019,AZSRSNUQCUDCGG
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,Telaprevir,0.5563025007672873,BBAWEDCPNXPBQM
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,Voriconazole,0.6627578316815741,BCEHBSKCWLPMDN
CN(C)CCCN1c2ccccc2CCc2ccccc21,Imipramine,1.1760912590556813,BCGWQEUPMDMJNV
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,Ethinylestradiol,0.9509903886664116,BFPYWIDHMRZLRN
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,Dabrafenib,0.0018572850055671019,BFSMGDJOXZAERB
