name,f_pct,raw,smiles
Anagrelide,70.0,"following oral administration, the bioavailability of anagrelide is approximately 70%.[l14153] given on an empty stomach",O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
Metoprolol,100.0,"when metoprolol is administered orally, it is almost completely absorbed in the gastrointestinal tract.[a175141] the max",COCCc1ccc(OCC(O)CNC(C)C)cc1
Cefmenoxime,100.0,bioavailability is approximately 100% following intramuscular injection.,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1
Ropinirole,45.0,"ropinirole is rapidly absorbed after oral administration, reaching peak concentration in approximately 1 to 2 hours [fda",CCCN(CCC)CCc1cccc2c1CC(=O)N2
Isradipine,15.0,"isradipine is 90%-95% absorbed and is subject to extensive first-pass metabolism, resulting in a bioavailability of abou",COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
Topiramate,80.0,"after a 400mg dose in one clinical trial, topiramate reached maximal concentrations within 1.8-4.3 hours and ranged from",CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
Cefmetazole,100.0,bioavailability is approximately 100% following intramuscular injection.,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21
Olmesartan,4.5,"when taken orally, the prodrug olmesartan medoxomil is rapidly absorbed in the gastrointestinal tract and metabolized to",CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
Argatroban,100.0,bioavailability is 100% (intravenous).,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
Lidocaine,35.0,"in general, lidocaine is readily absorbed across mucous membranes and damaged skin but poorly through intact skin [f4468",CCN(CC)CC(=O)Nc1c(C)cccc1C
Venlafaxine,45.0,venlafaxine is well absorbed after oral administration with an absolute bioavailability of approximately 45%. in mass ba,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
Atomoxetine,63.0,the pharmacokinetic profile of atomoxetine is highly dependent on cytochrome p450 2d6 genetic polymorphisms of the indiv,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
Etonogestrel,82.0,vaginal administration of etonogestrel is known to be significantly absorbed through the vaginal epithelium but it does ,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
Morphine,100.0,morphine is absorbed in the alkaline environments of the upper intestine and rectal mucosa.[a176119] the bioavailability,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
Flucloxacillin,70.0,bioavailability is 50–70% following oral administration.,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
Ertapenem,90.0,"ertapenem is almost completely absorbed following intramuscular administration, with a mean bioavailability of approxima",C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12
Valproic acid,90.0,"the intravenous and oral forms of valproic acid are expected to produce the same auc, cmax, and cmin at steady-state.[la",CCCC(CCC)C(=O)O
Zolmitriptan,40.0,"zolmitriptan tablets have a mean absolute oral bioavailability of approximately 40%, with food having no effect on the r",CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
Gefitinib,60.0,absorbed slowly after oral administration with a mean bioavailability of 60%. peak plasma levels occurs 3-7 hours post-a,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
Dihydroergotamine,40.0,"when delivered intranasally, dhe has a bioavailability of approximately 40% with a tmax of 30-60 min.[l38469, a239234]. ",CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
Amitriptyline,60.0,rapidly absorbed following oral administration (bioavailability is 30-60% due to first pass metabolism). peak plasma con,CN(C)CCC=C1c2ccccc2CCc2ccccc21
Tolcapone,65.0,rapidly absorbed (absolute bioavailability is about 65%),Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
Hydromorphone,60.0,the immediate release version of hydromorphone reaches its peak concentration after 30-60 minutes while the extended-rel,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
Indomethacin,100.0,indometacin displays a linear pharmacokinetics profile where the plasma concentrations and area under the curve (auc) ar,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
